plug,title,link,available,imageUrl
Macaron Set,Macaron Set,https://www.victoriasbasement.com.au/p/chasseur-patisserie-macaron-set/,TRUE,/items/Macaron Set.png
Icecream Scoop,Icecream Scoop,https://www.victoriasbasement.com.au/p/moha-magic-ice-cream-scoop-60mm/,TRUE,/items/Icecream Scoop.png
Cake Tier,Cake Tier,https://www.victoriasbasement.com.au/p/dan-samuels-english-bead-silverplated-3-tier-round-cake-stand-53cm/,TRUE,/items/Cake Tier.png
Teapot,Teapot,https://top3.com.au/categories/kitchen-and-dining/coffee-and-tea/skagerak-edge-tea-coffee/1810455#skagerak-|-edge-teapot,TRUE,/items/Teapot.png
Teacup,Teacup,https://top3.com.au/categories/kitchen-and-dining/coffee-and-tea/skagerak-edge-tea-coffee/1810450,TRUE,/items/Teacup.png
Whisky Set 3pcs,Whisky Set 3pcs,https://www.victoriasbasement.com.au/p/nachtmann-crystal-aspen-3pc-whisky-decanter-double-old-fashioned-set-made-in-germany/,TRUE,/items/Whisky Set 3pcs.png
Griddler Deep Pan,Griddler Deep Pan,https://www.victoriasbasement.com.au/p/cuisinart-griddler-deep-pan/,TRUE,/items/Griddler Deep Pan.png
Glassware,Glassware,https://top3.com.au/categories/bar-and-wine-and-water/glassware/iittala-kastehelmi-glasses/5760598#iittala-|-kastehelmi-universal-glass-|-set-of-2-|-clear,TRUE,/items/Glassware.png
Glassware Copenhagen,Glassware Copenhagen,https://top3.com.au/collections/normann_copenhagen_glassware_collection,TRUE,/items/Glassware Copenhagen.png
Flavour Grinder,Flavour Grinder,https://top3.com.au/categories/kitchen-and-dining/kitchen-accessories/eva-solo-flavour-grinder/es-531407#eva-solo-|-green-tool-|-flavour-grinder,TRUE,/items/Flavour Grinder.png
Clock Speaker,Clock Speaker,https://top3.com.au/categories/home-and-living/alarm-clocks/miami-clock-and-speaker/la108dmw,TRUE,/items/Clock Speaker.png
Photoframe,Photoframe,https://www.etsy.com/au/listing/757596286/together-they-built-a-life-they-loved?,TRUE,/items/Photoframe.png
Table Saw,Table Saw,https://www.bunnings.com.au/ozito-2000w-254mm-table-saw_p0048821,TRUE,/items/Table Saw.png
Top3 Giftcard,Top3 Giftcard,https://top3.com.au/gift-cards,TRUE,/items/Top3 Giftcard.png
Victorial's Basement Giftcard,Victorial's Basement Giftcard,https://www.victoriasbasement.com.au/c/decor-gifts/gift-cards/,TRUE,/items/Victorial's Basement Giftcard.png
Bunnings Giftcard,Bunnings Giftcard,https://www.bunnings.com.au/gift-cards/corporate-gift-cards,TRUE,/items/Bunnings Giftcard.png
Myer Giftcard,Myer Giftcard,https://www.myer.com.au/content/gift-cards#Retail%20Gift%20Cards,TRUE,/items/Myer Giftcard.png
Ryobi Router,Ryobi Router,https://www.bunnings.com.au/ryobi-one-18v-trim-router-skin-only_p6210769,TRUE,/items/Ryobi Router.png
Mitre Saw,Mitre Saw,https://www.bunnings.com.au/ozito-1600w-210mm-8-sliding-compound-mitre-saw-and-stand_p0195862,TRUE,/items/Mitre Saw.png
Smart Plug,Smart Plug,https://www.amazon.com.au/Monitor-Control-Function-Compatible-Certified/dp/B07MNL86JJ/ref=sr_1_2?dchild=1&keywords=smart+plug&qid=1615800888&sr=8-2,TRUE,/items/Smart Plug.png
Big Chop Serving Board,Big Chop Serving Board,https://www.victoriasbasement.com.au/p/big-chop-blackwood-and-huon-pine-rectangular-chopping-board-40x27x2cm-made-in-australia/,TRUE,/items/Big Chop Serving Board.png
The Franklin Barbecue,The Franklin Barbecue,https://www.amazon.com.au/Franklin-Barbecue-Collection-Special-Two-Book/dp/1984858920/ref=asc_df_1984858920/?tag=googleshopdsk-22&linkCode=df0&hvadid=341792492384&hvpos=&hvnetw=g&hvrand=10800675361093784899&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9071822&hvtargid=pla-904517912876&psc=1,TRUE,/items/The Franklin Barbecue.png
Inkbird Food Thermometer ,Inkbird Food Thermometer ,https://www.amazon.com.au/dp/B0772JDKSC/ref=sspa_dk_detail_3?psc=1&pd_rd_i=B0772JDKSC&pd_rd_w=CK1JP&pf_rd_p=ea20208d-137b-46cb-8ff4-3f2183f0cd6f&pd_rd_wg=Hk9Ks&pf_rd_r=BZ7SP83QH5KRGKXFXZQW&pd_rd_r=9dcdd1fa-936a-4290-a24b-aaf97915e6c3&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUExOVRBVEFNSEg2S1NYJmVuY3J5cHRlZElkPUEwOTE5NTYwMUdRSFkwSTJYTjlHRSZlbmNyeXB0ZWRBZElkPUFRRFNIT0JIOFZSU1omd2lkZ2V0TmFtZT1zcF9kZXRhaWwmYWN0aW9uPWNsaWNrUmVkaXJlY3QmZG9Ob3RMb2dDbGljaz10cnVl#customerReviews,TRUE,/items/Inkbird Food Thermometer .png
Keychron K6 ,Keychron K6,https://www.mwave.com.au/product/keychron-k6-wireless-rgb-mechanical-keyboard-gateron-blue-ac34045,TRUE,/items/Keychron K6.png
Creality Ender 3D Printer,Creality Ender 3D Printer,https://www.banggood.com/Creality-3D-Ender-3-Pro-DIY-3D-Printer-Kit-220x220x250mm-Printing-Size-With-Magnetic-Removable-Platform-Sticker-or-Power-Resume-Function-or-Off-line-Printer-or-Simple-Leveling-p-1346320.html?cur_warehouse=AU&aff_key=31k5_f0cdk&utm_source=ShareASale&utm_medium=aff&sscid=31k5_f0cdk&SSAID=545934,TRUE,/items/Creality Ender 3D Printer.png
